ЕМ ВИ ЕМ - О ЕООД: [Обр.1: enabled=None, task=NO, her=None] [Обр.6: enabled=None, task=NO, her=None] 
ДЖИ ДИ ЕМ ГРУП 2019 ЕООД: [Обр.1: enabled=True, task=YES, her=True] [Обр.6: enabled=True, task=YES, her=True] 
ДЖИ ДИ ЕМ ГРУП: [Обр.1: enabled=True, task=YES, her=True] [Обр.6: enabled=True, task=YES, her=True] 
МЕЙЛТЕМИ ЕООД: [Обр.1: enabled=None, task=NO, her=None] [Обр.6: enabled=None, task=NO, her=None] 
МЕНИ МОР ЕООД: [Обр.1: enabled=True, task=YES, her=True] [Обр.6: enabled=True, task=YES, her=True] 
ДИ ЕН ДИ 2021 ЕООД: [Обр.1: enabled=None, task=NO, her=None] [Обр.6: enabled=None, task=NO, her=None] 
БУТИК 15А ЕООД: [Обр.1: enabled=True, task=YES, her=True] [Обр.6: enabled=False, task=YES, her=True] 
Ню Актърс ЕООД: [Обр.1: enabled=True, task=YES, her=True] [Обр.6: enabled=None, task=NO, her=None] 
Мехов Консулт ЕООД: [Обр.1: enabled=True, task=YES, her=True] [Обр.6: enabled=True, task=YES, her=True] 
ЕЙНДЖЪЛ СТИЛ ЕООД: [Обр.1: enabled=True, task=YES, her=False] [Обр.6: enabled=True, task=YES, her=False] 
ДЖИ ДИ ЕМ БГ ЕООД: [Обр.1: enabled=True, task=YES, her=False] [Обр.6: enabled=True, task=YES, her=True] 
Скрийн бокс ООД: [Обр.1: enabled=None, task=NO, her=None] [Обр.6: enabled=None, task=NO, her=None] 
ВИЖУАЛАЙЗ ООД: [Обр.1: enabled=True, task=YES, her=True] [Обр.6: enabled=True, task=YES, her=True] 
ДРОСЕВ ОСТЕО КЕЪР ЕООД: [Обр.1: enabled=True, task=YES, her=True] [Обр.6: enabled=True, task=YES, her=True] 
ЕЛЕГИЯ ЕООД: [Обр.1: enabled=True, task=YES, her=True] [Обр.6: enabled=True, task=YES, her=True] 
КОРЕКТ МУВЪРС ЕООД: [Обр.1: enabled=None, task=NO, her=None] [Обр.6: enabled=None, task=NO, her=None] 
ПЪТНА ПОМОЩ АЛБЕНА ЕКСПРЕС ЕООД: [Обр.1: enabled=True, task=YES, her=True] [Обр.6: enabled=True, task=YES, her=True] 
СМАРТ ЪП ЕООД: [Обр.1: enabled=None, task=NO, her=None] [Обр.6: enabled=None, task=NO, her=None] 
ТехСиМикро ЕООД: [Обр.1: enabled=True, task=YES, her=True] [Обр.6: enabled=None, task=NO, her=None] 
АГППМПДМ- ЛМ-ДЕНТ ООД: [Обр.1: enabled=True, task=YES, her=True] [Обр.6: enabled=True, task=YES, her=True] 
АИПДП-МИЛЕНИУМ ДЕНТАЛ КЕЪР ЕООД: [Обр.1: enabled=True, task=YES, her=True] [Обр.6: enabled=True, task=YES, her=True] 
